CD_UNID;NOME_UNID;CS_TT_MAQUINA;DESCR_MAQUINA;CD_MAQUINA;CD_SETORMANUT;DESCR_SETORMANUT;CD_PRIOMAQUTV;NRO_PATRIMONIO;CD_MODELO;CD_GRUPO;CD_TPCENTATIV;DESCR_GERENC
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994525;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994524;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994523;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994522;PRU;SETOR DE PRESUNTARIA          ;1;0;2;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994508;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994507;PRU;SETOR DE PRESUNTARIA          ;1;0;2;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994506;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994505;PRU;SETOR DE PRESUNTARIA          ;1;0;2;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994504;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994503;PRU;SETOR DE PRESUNTARIA          ;1;0;2;12;2291;EQUIPAMENTOS
92;FRIG. AURORA CASTRO;4228;SENSOR DE TEMPERATURA;99994502;PRU;SETOR DE PRESUNTARIA          ;1;0;1;12;2291;EQUIPAMENTOS
